Date,Time,Count,Avg Speed [km/h],PH,PH Bool
17/07/2023,12:00 - 13:00,166,61,#N/A,0
17/07/2023,13:00 - 14:00,349,62,#N/A,0
17/07/2023,14:00 - 15:00,435,62,#N/A,0
17/07/2023,15:00 - 16:00,403,63,#N/A,0
17/07/2023,16:00 - 17:00,478,63,#N/A,0
17/07/2023,17:00 - 18:00,494,65,#N/A,0
17/07/2023,18:00 - 19:00,463,63,#N/A,0
17/07/2023,19:00 - 20:00,406,65,#N/A,0
17/07/2023,20:00 - 21:00,299,61,#N/A,0
17/07/2023,21:00 - 22:00,181,61,#N/A,0
17/07/2023,22:00 - 23:00,140,61,#N/A,0
17/07/2023,23:00 - 24:00,101,61,#N/A,0
18/07/2023,00:00 - 01:00,44,58,#N/A,0
18/07/2023,01:00 - 02:00,42,62,#N/A,0
18/07/2023,02:00 - 03:00,21,61,#N/A,0
18/07/2023,03:00 - 04:00,29,60,#N/A,0
18/07/2023,04:00 - 05:00,52,63,#N/A,0
18/07/2023,05:00 - 06:00,155,64,#N/A,0
18/07/2023,06:00 - 07:00,269,69,#N/A,0
18/07/2023,07:00 - 08:00,336,65,#N/A,0
18/07/2023,08:00 - 09:00,443,64,#N/A,0
18/07/2023,09:00 - 10:00,529,61,#N/A,0
18/07/2023,10:00 - 11:00,528,61,#N/A,0
18/07/2023,11:00 - 12:00,446,62,#N/A,0
18/07/2023,12:00 - 13:00,426,60,#N/A,0
18/07/2023,13:00 - 14:00,390,65,#N/A,0
18/07/2023,14:00 - 15:00,314,65,#N/A,0
18/07/2023,15:00 - 16:00,369,65,#N/A,0
18/07/2023,16:00 - 17:00,431,66,#N/A,0
18/07/2023,17:00 - 18:00,424,66,#N/A,0
18/07/2023,18:00 - 19:00,386,64,#N/A,0
18/07/2023,19:00 - 20:00,374,63,#N/A,0
18/07/2023,20:00 - 21:00,253,61,#N/A,0
18/07/2023,21:00 - 22:00,188,60,#N/A,0
18/07/2023,22:00 - 23:00,155,59,#N/A,0
18/07/2023,23:00 - 24:00,131,64,#N/A,0
19/07/2023,00:00 - 01:00,89,63,#N/A,0
19/07/2023,01:00 - 02:00,55,64,#N/A,0
