DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time
15/08/2023 20:00,109,71,1,15/08/2023,20:00:00
15/08/2023 21:00,149,75,1,15/08/2023,21:00:00
15/08/2023 22:00,137,73,1,15/08/2023,22:00:00
15/08/2023 23:00,109,76,1,15/08/2023,23:00:00
16/08/2023 00:00,107,74,0,16/08/2023,00:00:00
16/08/2023 01:00,72,82,0,16/08/2023,01:00:00
16/08/2023 02:00,53,76,0,16/08/2023,02:00:00
16/08/2023 03:00,87,80,0,16/08/2023,03:00:00
16/08/2023 04:00,92,83,0,16/08/2023,04:00:00
16/08/2023 05:00,131,79,0,16/08/2023,05:00:00
16/08/2023 06:00,201,85,0,16/08/2023,06:00:00
16/08/2023 07:00,170,81,0,16/08/2023,07:00:00
16/08/2023 08:00,176,81,0,16/08/2023,08:00:00
16/08/2023 09:00,175,79,0,16/08/2023,09:00:00
16/08/2023 10:00,169,70,0,16/08/2023,10:00:00
16/08/2023 11:00,145,73,0,16/08/2023,11:00:00
16/08/2023 12:00,163,73,0,16/08/2023,12:00:00
16/08/2023 13:00,155,75,0,16/08/2023,13:00:00
16/08/2023 14:00,145,74,0,16/08/2023,14:00:00
16/08/2023 15:00,135,75,0,16/08/2023,15:00:00
16/08/2023 16:00,137,72,0,16/08/2023,16:00:00
16/08/2023 17:00,133,77,0,16/08/2023,17:00:00
16/08/2023 18:00,116,78,0,16/08/2023,18:00:00
16/08/2023 19:00,148,81,0,16/08/2023,19:00:00
16/08/2023 20:00,105,75,0,16/08/2023,20:00:00
16/08/2023 21:00,116,74,0,16/08/2023,21:00:00
16/08/2023 22:00,87,79,0,16/08/2023,22:00:00
16/08/2023 23:00,100,80,0,16/08/2023,23:00:00
17/08/2023 00:00,77,78,0,17/08/2023,00:00:00
17/08/2023 01:00,40,75,0,17/08/2023,01:00:00
17/08/2023 02:00,25,90,0,17/08/2023,02:00:00
17/08/2023 03:00,50,83,0,17/08/2023,03:00:00
17/08/2023 04:00,74,86,0,17/08/2023,04:00:00
17/08/2023 05:00,152,78,0,17/08/2023,05:00:00
17/08/2023 06:00,328,81,0,17/08/2023,06:00:00
17/08/2023 07:00,532,79,0,17/08/2023,07:00:00
17/08/2023 08:00,770,77,0,17/08/2023,08:00:00
17/08/2023 09:00,961,73,0,17/08/2023,09:00:00
17/08/2023 10:00,982,69,0,17/08/2023,10:00:00
17/08/2023 11:00,951,71,0,17/08/2023,11:00:00
17/08/2023 12:00,769,73,0,17/08/2023,12:00:00
17/08/2023 13:00,620,76,0,17/08/2023,13:00:00
17/08/2023 14:00,633,75,0,17/08/2023,14:00:00
17/08/2023 15:00,650,73,0,17/08/2023,15:00:00
17/08/2023 16:00,664,76,0,17/08/2023,16:00:00
17/08/2023 17:00,722,75,0,17/08/2023,17:00:00
17/08/2023 18:00,683,76,0,17/08/2023,18:00:00
17/08/2023 19:00,575,77,0,17/08/2023,19:00:00
17/08/2023 20:00,361,73,0,17/08/2023,20:00:00
17/08/2023 21:00,224,73,0,17/08/2023,21:00:00
17/08/2023 22:00,187,77,0,17/08/2023,22:00:00
17/08/2023 23:00,157,78,0,17/08/2023,23:00:00
18/08/2023 00:00,90,81,0,18/08/2023,00:00:00
18/08/2023 01:00,45,74,0,18/08/2023,01:00:00
18/08/2023 02:00,29,85,0,18/08/2023,02:00:00
18/08/2023 03:00,29,77,0,18/08/2023,03:00:00
18/08/2023 04:00,56,80,0,18/08/2023,04:00:00
18/08/2023 05:00,111,78,0,18/08/2023,05:00:00
18/08/2023 06:00,320,82,0,18/08/2023,06:00:00
18/08/2023 07:00,484,80,0,18/08/2023,07:00:00
18/08/2023 08:00,744,77,0,18/08/2023,08:00:00
18/08/2023 09:00,891,72,0,18/08/2023,09:00:00
18/08/2023 10:00,676,70,0,18/08/2023,10:00:00
18/08/2023 11:00,480,71,0,18/08/2023,11:00:00
18/08/2023 12:00,350,75,0,18/08/2023,12:00:00
18/08/2023 13:00,438,78,0,18/08/2023,13:00:00
18/08/2023 14:00,386,74,0,18/08/2023,14:00:00
18/08/2023 15:00,323,79,0,18/08/2023,15:00:00
18/08/2023 16:00,329,76,0,18/08/2023,16:00:00
18/08/2023 17:00,341,72,0,18/08/2023,17:00:00
18/08/2023 18:00,256,75,0,18/08/2023,18:00:00
18/08/2023 19:00,251,72,0,18/08/2023,19:00:00
18/08/2023 20:00,264,75,0,18/08/2023,20:00:00
18/08/2023 21:00,245,75,0,18/08/2023,21:00:00
18/08/2023 22:00,218,79,0,18/08/2023,22:00:00
18/08/2023 23:00,191,80,0,18/08/2023,23:00:00
19/08/2023 00:00,120,80,0,19/08/2023,00:00:00
